objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,DLWOC01,,,Autobiography for the Body That Won't Leave for Rukim Katturoo (1936-2020),Carmin Wong,2021,Poem,Poetry,,,,Obsidian ,,PDF,application/pdf,eng,Public domain,
coll002,DLWOC02,,,Black Is...,Angel C. Dye,2021,Poem,Poetry,,,,Breathe,,PDF,application/pdf,eng,Public domain,
coll003,DLWOC03,,,Drunken Monolouge from An Alcoholic Father,Taylor Byas,2021,Poem,Poetry,,,,Soft Pink Magazine,,PDF,application/pdf,eng,Public domain,
coll004,DLWOC04,,,fast tailed girl,K.Y. Robinson,2017,Poem,Poetry,,,,The Chaos of Longing,,PDF,application/pdf,eng,Public domain,
coll005,DLWOC05,,,"Hands Up, Don't-",Ariana Benson,2020,Poem,Poetry,,,,Tinder Box Poetry,,PDF,application/pdf,eng,Public domain,
coll006,DLWOC06,,,How's the Big Easy,Carmin Wong,2020,Poem,Poetry,,,,Sou'wester,,PDF,application/pdf,eng,Public domain,
coll007,DLWOC07,,,I Don't Care if Mary Jane Gets Saved Or Not,,,Poem,Poetry,,,,Chattahoochee Review,,PDF,application/pdf,eng,Public domain,
coll008,DLWOC08,,,In the Wake of a Transfer,Michal Jones,,Poem,Poetry,,,,Anmly,,PDF,application/pdf,eng,Public domain,
coll009,DLWOC09,,,"Louisiana, 1941",Taylor Alyson Lewis,2017,Poem,Poetry,,,,American Academy of Poets,,PDF,application/pdf,eng,Public domain,
coll010,DLWOC010,,,No. 2 (No. 7 and No. 2): oil on canvas: Mark Rothko: 1951,Ariana Benson,,Poem,Poetry,,,,Tinder Box Poetry,,PDF,application/pdf,eng,Public domain,
coll011,DLWOC011,,,On Being Seen by Toni Morrison,,2019,Essay,Creative Non-Fiction,,,,The Rumpus,,PDF,application/pdf,eng,Public domain,
coll012,DLWOC012,,,On Hunger,Michal Jones,2020,Poem,Poetry,,,,Subnivean,,PDF,application/pdf,eng,Public domain,
coll013,DLWOC013,,,Tapestry,Angel C. Dye,2020,Poem,Poetry,,,,Breathe,,PDF,application/pdf,eng,Public domain,
coll014,DLWOC014,,,The Fox Spirit's Retelling,Wen Wen Yang,2020,Poem,Poetry,,,,So To Speak,,PDF,application/pdf,eng,Public domain,
coll015,DLWOC015,,,to mothers with scarred daughters,K. Y. Robinson,2019,Poem,Poetry,,,,Submerge,,PDF,application/pdf,eng,Public domain,
coll016,DLWOC016,,,Black Boy Dancing,Taylor Alyson Lewis,2018,Poem,Poetry,,,,Auburn Avenue,,PDF,application/pdf,eng,Public domain,
coll017,DLWOC017.pdf,,,Ibadan,Adeyayo Agarau,2022,Poem,Poetry,,,,World Literature Today,,PDF,application/pdf,eng,Public domain,
coll018,DLWOC018,,,When the Air is Thick,Danielle P. Williams,2020,Essay,Creative Non-Fiction,,,,JMWW Blog,,PDF,application/pdf,eng,Public domain,
coll019,DLWOC019,,,Don't Drink the Kool-Aid,Danielle P. Williams,2021,Poem,Poetry,,,,Hobart,,PDF,application/pdf,eng,Public domain,
coll020,DLWOC020,,,On the Red Line,Jarohn Johnson,2022,Short Story,Fiction,,,,Obsidian ,,PDF,application/pdf,eng,Public domain,
